column_a,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Total Direct,248.6963285075392,293.61320767927407,364.22707339611253,320.4089598468919,358.54509937784513,351.59091084568047,470.1229594611091,538.5077792490976,560.0321392201256,718.965181329845,644.3410500031741,520.1890097959385,743.6860516974255,863.9921167370851,877.7092637076292,910.6261505588428,1066.6904544177678,598.687915638442,606.8606481957951,531.7878149275748,570.5646347625075
Burden,283.66418600814313,357.93482979289485,410.6811881399659,390.71782022387026,380.42392244117934,382.41569317798695,561.7987815028132,578.0973093750797,587.5809319750983,436.4246152133374,294.38760395285357,313.9906728847435,364.3799737568669,397.7133138051592,455.79466690880474,412.35996055226826,510.91460316891096,268.4172677170378,235.25916772016282,238.65966641371892,244.30346212144923
Aircraft Ownership,820.938879166593,768.8796157562349,737.1739745856413,660.805076742927,574.649866574311,580.5569925183567,768.8240059482195,734.0083761260559,589.8917169880069,464.7304405911659,402.63876251137395,385.28388481752904,418.45938888043906,466.8700476505447,516.1613410047079,491.5046296296296,423.85753049673366,328.7205326473338,295.49946467549506,274.4271571415075,216.60672154432467
Rentals,563.7870993972176,522.745158444541,505.95565573639146,401.97428891602976,374.4291099721687,397.0546980962602,489.5600981012307,479.03841846036937,308.94136772312936,234.33716496423503,168.48033095626045,238.81363041922668,242.48345625671868,273.48712895344283,263.49851002534194,261.9572923515231,287.2073299743595,293.35458965660376,261.8626758237623,244.29265293434634,186.28221007024396
Depreciation and Amortization,257.15177976937537,246.13445731169395,231.2183188492498,258.83078782689716,200.22075660214227,183.50229442209647,279.26390784698873,254.96995766568654,280.9503492648776,230.3932756269309,234.15843155511354,146.47025439830236,175.97593262372038,193.38291869710181,252.662830979366,229.54733727810645,136.6502005223742,35.36594299073003,33.636788851732774,30.134504207161164,30.32451147408067
Other,6.602322744869279,4.433366473891308,10.089895682550196,12.513063295601919,5.6260542622718,-40.50176167349974,12.498474104160424,8.174804136456563,-0.04982824825678988,13.880152523031535,20.70592716422964,3.437214696375256,4.521655740620916,3.139806428098973,0.6686312869914068,34.73964497041424,153.00460812967333,238.75792287703916,354.90967071014546,310.75145292581317,326.22808507974565
Indicies,,,,,,,,,,,,,,,,,,,,,
Aircraft In Fleet,88,89.60928961748634,92.13972602739726,95.64931506849315,97.87671232876713,98,97.83287671232877,97.0054794520548,96.41643835616438,96.94535519125684,96.88219178082191,97,97,96.97260273972603,96.66849315068494,96.26027397260275,95.4931506849315,336.0109289617486,351.75068493150684,350.3945205479452,351.1506849315069
Seats Per Departure,187.95099605590423,187.934538720126,187.94906413518385,187.95734103528213,186.48988958377424,181.9699943531776,181.9827098254326,181.99793748299436,181.99753278852685,181.55837877092262,171.61860602138947,171.46738386182184,170.85745265347927,170.15275504818817,170.77781344938717,171.39673598402987,170.52382134328494,166.98452941723042,166.7035701976107,166.36623145257815,168.60048734157758
Average Stage Length,1405.5662504046538,1409.8325643334083,1401.0981547196593,1311.4685582578286,1281.386158280106,1365.2517403478128,1382.927417938455,1347.7995777298388,1362.8853935343902,1405.9540390762422,1400.6610157257956,1448.6315172970299,1444.9304075292566,1445.6038883541867,1370.6374966385074,1410.8372307348588,1440.6212176259926,1490.9072932856145,1517.8908478215658,1518.1904739259599,1496.006823866534
